Thorlabs Shack-Hartmann Wavefront Sensor

Model                  ,       WFS20-5C
Serial Number          ,       M00578372

Date MM-DD-YYYY        ,       07-15-2024
Time HH:MM:SS          ,       11:39:37


*** CAMERA ***
Camera Type            ,       Thorlabs WFS20
Camera SN              ,       742
Resolution X           ,       1440
Resolution Y           ,       1080
Exposure Time [ms]     ,       0.010
Master Gain            ,       1.000
Averages               ,       1
Average Type           ,       Normal


*** BEAM ***
Beam Center X [mm]     ,       0.665
Beam Center Y [mm]     ,      -1.119
Beam Diameter X [mm]   ,       7.222
Beam Diameter Y [mm]   ,       3.462


*** PUPIL ***
Circular               ,       1
Use Beam Centroid      ,       0
Use Beam Dia           ,       0
Wavefront Calc In Pupil,       0
Pupil Diameter X [mm]  ,       5.304
Pupil Diameter Y [mm]  ,       5.304
Pupil Center X [mm]    ,       0.000
Pupil Center Y [mm]    ,       0.000


*** POWER DISTRIBUTION [a.u.] ***
Power points X         ,       47
Power points Y         ,       35
     NaN,     NaN,     NaN,     NaN,     NaN,      12,      86,       9,     NaN,     NaN,     NaN,     NaN,     NaN,      77,    1094,     938,     975,    1067,    1061,     990,    1003,    1741,     817,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     249,     858,     443,     494,     359,     321,     240,     181,     128,
     NaN,     NaN,     NaN,     NaN,     664,     522,     440,     665,    1090,       1,     NaN,     NaN,     NaN,     135,    1058,     962,    1150,    1069,    1225,    1468,    1629,    1841,    1826,    2747,      15,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,       1,     987,     814,     557,     439,     428,     379,     323,     272,     261,     188,
     NaN,     NaN,     NaN,     649,     353,     405,     559,     578,     520,    1271,     NaN,     NaN,     NaN,     127,    1162,    1054,    1320,    1326,     429,     201,      45,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     669,    1260,     697,     735,     653,     537,     570,     476,     414,     367,     308,     224,
     NaN,     NaN,      81,     359,     396,     546,     657,     707,     688,    1029,      45,     NaN,     NaN,      90,    1288,    1272,    1848,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     170,    1545,     998,    1045,     894,     462,     679,     640,     535,     451,     465,     374,     274,     241,
     NaN,     NaN,     297,     371,     508,     591,     643,     801,     779,     883,     180,     NaN,     NaN,      65,    1630,    1154,    1435,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,    1289,    1554,    1073,    1016,     938,     957,     457,     657,     694,     590,     550,     518,     374,     346,     247,
     NaN,     NaN,     112,     481,     485,     677,     778,     834,     836,    1153,      61,     NaN,     NaN,      18,    1722,    1591,     302,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     491,    2121,    1275,    1460,    1313,    1216,     294,    1064,     936,     711,     675,     654,     606,     534,     380,     390,     271,
     NaN,     NaN,     NaN,     963,     508,     581,     763,     797,     696,    1531,     NaN,     NaN,     NaN,       2,    2058,    2323,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,      77,    1827,    1990,    1613,    1419,    1354,    1290,    1268,     907,    1082,     955,     890,     783,     664,     581,     533,     498,      56,     275,
     NaN,     NaN,     NaN,      16,    1081,     691,     612,    1014,    1457,     NaN,     NaN,     NaN,     NaN,     NaN,    1907,    1765,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     354,    3326,    1339,    1778,    1703,    1459,    1391,    1412,    1285,    1178,    1123,    1034,     881,     732,     773,     665,     620,     540,     471,     363,
     NaN,     NaN,     NaN,     NaN,     NaN,     257,     522,     315,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,    2516,     571,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     337,    2372,    1956,    1747,    1387,    1451,    1317,    1241,    1116,    1120,    1098,     971,     885,     786,     633,     616,     519,     404,     349,
     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,    2745,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     835,    2397,    1605,    1445,    1318,    1205,    1143,    1115,    1166,    1041,     824,     835,     627,     617,     510,     287,     336,
     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,       2,    1218,    2219,    1215,    1498,    1233,    1234,    1150,     986,     898,     868,     691,     591,     517,     489,     350,
     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,      14,    1607,    1916,    1049,    1336,    1201,     981,     956,     800,     722,     681,     602,     433,     334,
     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     132,    1622,    1453,    1026,    1014,     903,     875,     706,     626,     545,     467,     NaN,
     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     276,    1628,    1133,     853,     803,     551,     632,     462,     154,     NaN,
     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,    1241,    1673,       4,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     289,    1371,     827,     690,     594,     445,     NaN,     NaN,
