Power points Y
nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,1001.0,2818.0,1742.0,1850.0,1582.0,1475.0,1462.0,1278.0,1263.0,1065.0,1443.0,634.0,21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,66.0,191.0,38.0,15.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,60.0,1501.0,3036.0,1724.0,2041.0,1589.0,1712.0,1489.0,1268.0,1066.0,1224.0,1157.0,756.0,1134.0,994.0,190.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96.0,59.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,228.0,1783.0,3092.0,1683.0,2234.0,1876.0,1707.0,1589.0,1432.0,1396.0,1206.0,1195.0,1078.0,911.0,865.0,560.0,1190.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,1593.0,3352.0,2222.0,1874.0,2064.0,1854.0,1487.0,1547.0,1397.0,1337.0,1175.0,1025.0,921.0,851.0,867.0,774.0,476.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,821.0,2465.0,2260.0,1983.0,1843.0,1782.0,1631.0,1356.0,1451.0,1268.0,1111.0,1087.0,977.0,976.0,933.0,875.0,160.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,135.0,1585.0,2236.0,1878.0,1786.0,1757.0,1667.0,1331.0,1331.0,1385.0,1254.0,1021.0,936.0,893.0,760.0,1134.0,47.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,1146.0,2484.0,2242.0,1803.0,1548.0,1579.0,1387.0,1305.0,1182.0,1129.0,1089.0,991.0,696.0,577.0,890.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,527.0,2611.0,1392.0,1530.0,1813.0,1439.0,1221.0,1090.0,1238.0,1061.0,967.0,907.0,836.0,645.0,502.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,28.0,1819.0,1745.0,1698.0,1293.0,1144.0,1274.0,1156.0,1079.0,1028.0,946.0,774.0,879.0,872.0,245.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,827.0,2151.0,1596.0,1432.0,1193.0,1266.0,1278.0,1079.0,820.0,763.0,782.0,702.0,999.0,46.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
